dataset,model,method,faithfulness_correlation,sparsity_mean,complexity_normalized,time_per_sample_ms,stability_jaccard_mean,completeness_success_rate,robustness_mean_deviation,robustness_rank_correlation_mean
cse-cic-ids2018,CNN-GRU,DeepLIFT,0.22453616076200444,0.8793692307692308,0.5375443380242124,0.3852410793304443,1.0,1.0,99.28421020507812,0.11012981954754104
cse-cic-ids2018,CNN-GRU,IG,0.3646212936413386,0.8662012820512821,0.5489810593650193,3.827497363090515,1.0,1.0,1.3815507888793945,0.07356203290380506
cse-cic-ids2018,CNN-GRU,LIME,-0.09902106885024492,0.8727807692307692,0.5036048981840433,212.6872722864151,0.6196581196581196,1.0,7.211693339778609,0.8018917285246399
cse-cic-ids2018,CNN-GRU,SHAP,0.7990959612810896,0.890048717948718,0.5576660715261238,1857.6540102243423,0.7930846930846932,1.0,0.4094436466693878,0.08023257754903323
cse-cic-ids2018,CNN-LSTM,DeepLIFT,0.09393049601309507,0.8793974358974359,0.5405535683103069,0.11593363285064696,1.0,1.0,40609672.0,0.058749908319528574
cse-cic-ids2018,CNN-LSTM,IG,0.35254873173316686,0.8823871794871795,0.5422986730415887,2.439774250984192,1.0,1.0,23.357707977294922,0.05696313812769509
cse-cic-ids2018,CNN-LSTM,LIME,-0.10026162406632572,0.8894551282051282,0.45525550999566194,206.41829810142517,0.4756021756021756,1.0,3.0545299434639137,0.8243414307211774
cse-cic-ids2018,CNN-LSTM,SHAP,0.8447051763191749,0.889097435897436,0.5792226250855379,879.4435192346573,0.5762792762792762,1.0,1.595862627029419,0.052419226343276976
cse-cic-ids2018,DNN,DeepLIFT,0.4108071400860281,0.876275641025641,0.5586612204768081,0.03040754795074463,1.0,1.0,1880752.125,0.06661379127201911
cse-cic-ids2018,DNN,IG,0.4748432164177866,0.8727153846153847,0.5499117995900218,0.7195518255233765,1.0,1.0,1.388157606124878,0.08998399069285144
cse-cic-ids2018,DNN,LIME,0.5462512192931865,0.8725576923076923,0.5060371112902623,198.61883718967437,0.5472732333026451,1.0,1.7460669388893686,0.8134517128441179
cse-cic-ids2018,DNN,SHAP,0.8242278476454756,0.8867128205128205,0.6145053305200642,84.39188594818116,1.0,1.0,1.8711044788360596,0.06432094487790689
cse-cic-ids2018,RF,LIME,0.27373780386943203,0.8749294871794872,0.502656258821295,256.019882440567,0.6303418803418802,1.0,2.0920539531112037,0.7387071156691408
cse-cic-ids2018,RF,SHAP,0.8742861959413843,0.7414358974358974,0.7717709173625765,7.484513974189758,1.0,1.0,2.0095267295837402,0.08048483162407212
cse-cic-ids2018,XGB,LIME,0.49211510043673323,0.8746,0.508101498850636,198.9945527076721,0.577248813278225,1.0,6.777473324450052,0.7981129250496338
